opportunity_id,crm_sku,product_family,estimated_monthly_usage,estimated_monthly_revenue_usd,ramp_month,confidence
OPP-1001,gpu_reserved_capacity,gpu_accelerated,7615.02,3630,3,medium
OPP-1002,compute_savings_plan,compute_standard,21704.08,7316,3,medium
OPP-1003,compute_savings_plan,compute_standard,9190.92,2213,2,medium
OPP-1004,cloud_commit_plan,multi_product_commit,6919.98,6747,1,high
OPP-1005,gpu_reserved_capacity,gpu_accelerated,20384.77,5820,1,medium
OPP-1006,network_commit,network_egress,1028.5,9237,2,high
OPP-1007,cloud_commit_plan,multi_product_commit,2112.16,9990,1,medium
OPP-1008,gpu_reserved_capacity,gpu_accelerated,7240.21,19225,3,medium
OPP-1009,gpu_reserved_capacity,gpu_accelerated,16041.79,9347,3,high
OPP-1010,object_storage_commit,object_storage,15526.74,33449,1,high
OPP-1011,object_storage_commit,object_storage,23145.33,5296,1,high
OPP-1012,compute_savings_plan,compute_standard,17121.11,34119,3,medium
OPP-1013,gpu_reserved_capacity,gpu_accelerated,13325.6,12335,2,low
OPP-1014,cloud_commit_plan,multi_product_commit,13835.58,6679,1,medium
OPP-1015,gpu_reserved_capacity,gpu_accelerated,5377.16,23371,2,low
OPP-1016,network_commit,network_egress,10466.94,28796,2,high
OPP-1017,object_storage_commit,object_storage,10952.7,15487,1,low
OPP-1018,object_storage_commit,object_storage,19109.02,3877,1,low
OPP-1019,object_storage_commit,object_storage,15316.31,3004,1,low
OPP-1020,compute_savings_plan,compute_standard,24053.48,11917,1,high
OPP-1021,cloud_commit_plan,multi_product_commit,8368.15,20195,1,medium
OPP-1022,cloud_commit_plan,multi_product_commit,12866.42,10874,2,low
OPP-1023,compute_savings_plan,compute_standard,25562.39,5485,1,medium
OPP-1024,cloud_commit_plan,multi_product_commit,24690.88,34732,1,medium
OPP-1025,gpu_reserved_capacity,gpu_accelerated,8585.49,32223,1,medium
OPP-1026,cloud_commit_plan,multi_product_commit,5859.82,11101,1,low
OPP-1027,cloud_commit_plan,multi_product_commit,26386.39,15345,1,high
OPP-1028,object_storage_commit,object_storage,24968.35,6113,1,high
OPP-1029,gpu_reserved_capacity,gpu_accelerated,5248.57,84176,3,medium
OPP-1030,object_storage_commit,object_storage,15890.64,9934,1,low
OPP-1031,compute_savings_plan,compute_standard,4784.02,21784,2,medium
OPP-1032,object_storage_commit,object_storage,15520.88,167176,3,high
OPP-1033,cloud_commit_plan,multi_product_commit,1649.31,89452,1,medium
OPP-1034,cloud_commit_plan,multi_product_commit,2323.8,41594,1,low
OPP-1035,gpu_reserved_capacity,gpu_accelerated,178260.87,410000,1,high
OPP-1036,compute_savings_plan,compute_standard,100000.0,230000,1,high
OPP-1037,cloud_commit_plan,multi_product_commit,300000.0,690000,1,high
OPP-1038,gpu_reserved_capacity,gpu_accelerated,72000,185000,2,medium
OPP-1039,cloud_commit_plan,multi_product_commit,0,150000,1,high
